"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.72529,2.2428e-22,0.00013034,7.8092e+06,1,0.263,50,0.05,0.263
0.72487,2.9893e-22,0.00013085,7.8092e+06,1,0.264,50,0.05,0.264
0.72446,3.7358e-22,0.00013136,7.8092e+06,1,0.265,50,0.05,0.265
0.72404,4.4823e-22,0.00013187,7.8092e+06,1,0.266,50,0.05,0.266
0.72362,5.2288e-22,0.00013238,7.8092e+06,1,0.267,50,0.05,0.267
0.7232,5.9753e-22,0.00013289,7.8092e+06,1,0.268,50,0.05,0.268
0.72279,6.7218e-22,0.0001334,7.8092e+06,1,0.269,50,0.05,0.269
0.72237,7.4683e-22,0.00013391,7.8092e+06,1,0.27,50,0.05,0.27
0.72195,8.2148e-22,0.00013442,7.8092e+06,1,0.271,50,0.05,0.271
0.72153,8.9613e-22,0.00013493,7.8092e+06,1,0.272,50,0.05,0.272
0.72112,9.7078e-22,0.00013544,7.8092e+06,1,0.273,50,0.05,0.273
0.72067,9.4587e-22,0.00013595,7.8092e+06,1,0.274,50,0.05,0.274
0.72022,9.2095e-22,0.00013646,7.8092e+06,1,0.275,50,0.05,0.275
0.71977,8.9603e-22,0.00013697,7.8092e+06,1,0.276,50,0.05,0.276
0.71933,8.7112e-22,0.00013749,7.8092e+06,1,0.277,50,0.05,0.277
0.71888,8.462e-22,0.000138,7.8092e+06,1,0.278,50,0.05,0.278
0.71843,8.2128e-22,0.00013851,7.8092e+06,1,0.279,50,0.05,0.279
0.71798,7.9636e-22,0.00013902,7.8092e+06,1,0.28,50,0.05,0.28
0.71753,7.7145e-22,0.00013954,7.8092e+06,1,0.281,50,0.05,0.281
0.71709,7.4653e-22,0.00014005,7.8092e+06,1,0.282,50,0.05,0.282
0.71664,7.2161e-22,0.00014056,7.8092e+06,1,0.283,50,0.05,0.283
0.71619,6.967e-22,0.00014107,7.8092e+06,1,0.284,50,0.05,0.284
0.71574,6.7178e-22,0.00014159,7.8092e+06,1,0.285,50,0.05,0.285
0.71529,6.4686e-22,0.0001421,7.8092e+06,1,0.286,50,0.05,0.286
0.71485,6.2194e-22,0.00014261,7.8092e+06,1,0.287,50,0.05,0.287
0.7144,5.9703e-22,0.00014312,7.8092e+06,1,0.288,50,0.05,0.288
0.71395,5.7211e-22,0.00014363,7.8092e+06,1,0.289,50,0.05,0.289
0.7135,5.4719e-22,0.00014415,7.8092e+06,1,0.29,50,0.05,0.29
0.71305,5.2228e-22,0.00014466,7.8092e+06,1,0.291,50,0.05,0.291
0.71261,4.9736e-22,0.00014517,7.8092e+06,1,0.292,50,0.05,0.292
0.71214,4.4757e-22,0.00014569,7.8092e+06,1,0.293,50,0.05,0.293
0.71166,3.7292e-22,0.0001462,7.8092e+06,1,0.294,50,0.05,0.294
0.71119,2.9827e-22,0.00014672,7.8092e+06,1,0.295,50,0.05,0.295
0.71071,2.2362e-22,0.00014723,7.8092e+06,1,0.296,50,0.05,0.296
0.71023,1.4897e-22,0.00014775,7.8092e+06,1,0.297,50,0.05,0.297
0.70975,7.4321e-23,0.00014827,7.8092e+06,1,0.298,50,0.05,0.298
0.70927,-3.2807e-25,0.00014878,7.8092e+06,1,0.299,50,0.05,0.299
0.70879,-7.498e-23,0.0001493,7.8092e+06,1,0.3,50,0.05,0.3
0.70831,-1.4963e-22,0.00014981,7.8092e+06,1,0.301,50,0.05,0.301
